"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.591984694E0,-3.799999878E-2,7.328999996E0,2.463000059E0
1.611984694E0,1.519999951E-1,7.866000175E0,2.022000074E0
1.631984694E0,3.249999881E-1,9.206000328E0,8.539999723E-1
1.651984694E0,-8.610000014E-1,1.066100025E1,4.900000095E-1
1.671984694E0,-1.531999946E0,9.895000458E0,1.677999973E0
1.691984694E0,-1.646999955E0,9.838000298E0,1.715999961E0
1.711984694E0,-3.799999878E-2,1.135099983E1,2.539000034E0
1.731984694E0,2.813999891E0,1.177200031E1,3.650000095E0
1.751984694E0,4.480000019E0,1.129300022E1,3.516000032E0
1.771984694E0,3.618000031E0,1.037399960E1,3.420000076E0
1.791984694E0,1.455000043E0,9.760999680E0,4.185999870E0
1.811984694E0,-7.469999790E-1,8.880999565E0,4.512000084E0
1.831984694E0,-2.105999947E0,8.498000145E0,3.956000090E0
1.851984694E0,-1.781000018E0,1.138899994E1,3.344000101E0
1.871984694E0,-2.737999916E0,1.192500019E1,2.176000118E0
1.891984694E0,-2.431999922E0,1.188700008E1,-4.090000093E-1
1.911984694E0,-2.641999960E0,1.022099972E1,-5.429999828E-1
1.931984694E0,-1.398000002E0,6.104000092E0,-1.901999950E0
1.951984694E0,1.072000027E0,4.208000183E0,-2.400000095E0
1.971984694E0,3.618000031E0,5.567999840E0,-1.978999972E0
1.991984694E0,4.000999928E0,9.128999710E0,-1.537999988E0
2.011984694E0,9.179999828E-1,1.215499973E1,-7.149999738E-1
2.031984694E0,-3.236000061E0,1.253800011E1,3.950000107E-1
2.051984694E0,-4.557000160E0,1.092899990E1,1.141999960E0
2.071984694E0,-2.431999922E0,9.090999603E0,1.467000008E0
2.091984694E0,3.819999993E-1,8.267999649E0,1.046000004E0
2.111984694E0,2.144000053E0,7.598000050E0,4.519999921E-1
2.131984694E0,3.503999949E0,7.425000191E0,1.650000066E-1
2.151984694E0,2.967000008E0,7.655000210E0,3.950000107E-1
2.171984694E0,2.048000097E0,8.210000038E0,8.930000067E-1
2.191984694E0,1.684000015E0,8.746999741E0,9.879999757E-1
2.211984694E0,1.569000006E0,8.842000008E0,1.065000057E0
2.231984694E0,1.838000059E0,8.765999794E0,1.276000023E0
2.251984694E0,2.181999922E0,8.765999794E0,1.314000010E0
2.271984694E0,2.450000048E0,8.880999565E0,1.161000013E0
2.291984694E0,2.315999985E0,9.302000046E0,4.519999921E-1
2.311984694E0,1.723000050E0,1.010599995E1,-7.149999738E-1
2.331984694E0,8.610000014E-1,1.073799992E1,-6.769999862E-1
2.351984694E0,-2.680000067E-1,1.127400017E1,4.519999921E-1
2.371984694E0,3.799999878E-2,1.119799995E1,1.332999945E0
2.391984694E0,1.455000043E0,1.094900036E1,1.735000014E0
2.411984694E0,3.388999939E0,1.079500008E1,-4.659999907E-1
2.431984694E0,3.598999977E0,1.338099957E1,-1.400000006E-1
2.451984694E0,1.455000043E0,1.430000019E1,-1.599999964E-1
2.471984694E0,0.000000000E0,1.267199993E1,-7.919999957E-1
2.491984694E0,-4.210000038E-1,1.016399956E1,-3.243000031E0
2.511984694E0,-1.723000050E0,6.966000080E0,-4.027999878E0
2.531984694E0,-1.570000052E0,4.859000206E0,-2.898000002E0
2.551984694E0,-5.550000072E-1,6.506000042E0,-8.299999833E-1
2.571984694E0,1.588999987E0,9.340000153E0,2.989999950E-1
2.591984694E0,2.335000038E0,1.205900002E1,5.099999905E-1
