"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
4.469762538E0,5.973999977E0,-7.912000179E0,4.359000206E0
4.489762538E0,2.240000010E0,-1.164599991E1,6.235000134E0
4.509762538E0,4.210000038E-1,-1.176099968E1,3.687999964E0
4.529762538E0,-6.126999855E0,-1.672100067E1,1.650000066E-1
4.549762538E0,-1.043599987E1,-2.265699959E1,-7.360000134E0
4.569762538E0,-3.696000099E0,-1.901899910E1,-3.855000019E0
4.589762538E0,-6.700000167E-1,-1.560999966E1,-5.230000019E-1
4.609762538E0,-1.398000002E0,-1.266100025E1,1.332999945E0
4.629762538E0,-1.723000050E0,-1.017199993E1,-4.850000143E-1
4.649762538E0,-1.110000014E0,-6.456999779E0,3.759999871E-1
4.669762538E0,-9.570000172E-1,-2.627000093E0,8.930000067E-1
4.689762538E0,-3.799999878E-2,-1.764999986E0,8.930000067E-1
4.709762538E0,1.205999970E0,-2.397000074E0,5.099999905E-1
4.729762538E0,2.910000086E0,-6.342000008E0,3.950000107E-1
4.749762538E0,2.737999916E0,-9.368000031E0,-8.299999684E-2
4.769762538E0,2.220999956E0,-1.185700035E1,-7.149999738E-1
4.789762538E0,2.374000072E0,-1.289099979E1,-1.136000037E0
4.809762538E0,2.374000072E0,-1.289099979E1,-1.136000037E0
4.829762538E0,2.374000072E0,-1.289099979E1,-1.136000037E0
4.849762538E0,5.322999954E0,-7.242000103E0,-5.578999996E0
4.869762538E0,4.155000210E0,-6.686999798E0,-2.993999958E0
4.889762538E0,1.187000036E0,-7.682000160E0,1.650000066E-1
4.909762538E0,1.779999971E0,-8.659000397E0,5.099999905E-1
4.929762538E0,2.355000019E0,-9.310000420E0,5.860000253E-1
4.949762538E0,2.125000000E0,-9.673999786E0,3.950000107E-1
4.969762538E0,1.434999943E0,-9.961000443E0,-1.979999989E-1
4.989762538E0,7.649999857E-1,-1.091899967E1,-1.978999972E0
5.009762538E0,4.009999931E-1,-1.112899971E1,-2.552999973E0
5.029762538E0,-2.870000005E-1,-1.067000008E1,-2.687000036E0
5.049762538E0,-8.040000200E-1,-9.788999557E0,-2.342999935E0
5.069762538E0,-2.201999903E0,-9.022999763E0,-5.230000019E-1
5.089762538E0,-3.082999945E0,-9.213999748E0,3.099999949E-2
5.109762538E0,-5.630000114E0,-9.578000069E0,2.404999971E0
5.129762538E0,-3.236000061E0,-9.730999947E0,-8.489999771E-1
5.149762538E0,-6.089000225E0,-1.231700039E1,-9.259999990E-1
5.169762538E0,-7.486999989E0,-1.296800041E1,-1.269999981E0
5.189762538E0,-8.885000229E0,-1.227799988E1,-1.825999975E0
5.209762538E0,-8.559000015E0,-1.134000015E1,-1.615000010E0
5.229762538E0,-6.337999821E0,-9.616999626E0,-2.878999949E0
5.249762538E0,-1.493000031E0,-8.295000076E0,-1.692000031E0
5.269762538E0,-1.493000031E0,-8.295000076E0,-1.692000031E0
5.289762538E0,-1.493000031E0,-8.295000076E0,-1.692000031E0
5.309762538E0,3.273999929E0,-1.712299919E1,-2.361999989E0
5.329762538E0,1.608000040E0,-1.953599930E1,1.650000066E-1
5.349762538E0,1.608000040E0,-1.953599930E1,1.650000066E-1
5.369762538E0,-7.469999790E-1,-7.184999943E0,7.269000053E0
5.389762538E0,2.029000044E0,-6.859000206E0,1.152000046E1
5.409762538E0,2.029000044E0,-6.859000206E0,1.152000046E1
5.429762538E0,3.025000095E0,-7.605999947E0,-6.579999924E-1
5.449762538E0,2.967000008E0,-6.552999973E0,-1.480999947E0
5.469762538E0,3.349999905E0,-5.959000111E0,-1.805999994E0
5.489762538E0,3.887000084E0,-5.613999844E0,-2.592000008E0
5.509762538E0,5.131000042E0,-4.790999889E0,-3.740999937E0
5.529762538E0,5.552999973E0,-4.560999870E0,-3.280999899E0
5.549762538E0,5.705999851E0,-4.427000046E0,-2.782999992E0
5.569762538E0,5.438000202E0,-4.120999813E0,-2.648999929E0
5.589762538E0,4.289000034E0,-6.227000237E0,-8.679999709E-1
5.609762538E0,5.227000237E0,-9.979999542E0,-6.959999800E-1
5.629762538E0,2.967000008E0,-1.210599995E1,-6.400000304E-2
5.649762538E0,-2.125000000E0,-1.651000023E1,-2.360000014E-1
5.669762538E0,-1.351900005E1,-2.501199913E1,-5.234000206E0
5.689762538E0,-2.413000107E0,-2.445700073E1,1.927000046E0
5.709762538E0,-1.090999961E0,-1.997599983E1,1.409999967E0
5.729762538E0,-2.604000092E0,-1.447999954E1,1.083999991E0
5.749762538E0,-8.999999762E-1,-1.055500031E1,1.447999954E0
5.769762538E0,-8.999999762E-1,-1.055500031E1,1.447999954E0
5.789762538E0,1.519999951E-1,-2.302000046E0,8.349999785E-1
5.809762538E0,4.210000038E-1,-1.381999969E0,5.289999843E-1
5.829762538E0,1.014000058E0,-1.496999979E0,6.899999827E-2
5.849762538E0,2.604000092E0,-5.460999966E0,-1.021000028E0
5.869762538E0,2.604000092E0,-5.460999966E0,-1.021000028E0
5.889762538E0,2.163000107E0,-1.409700012E1,-4.545000076E0
5.909762538E0,1.876000047E0,-1.595499992E1,-5.024000168E0
5.929762538E0,1.876000047E0,-1.595499992E1,-5.024000168E0
5.949762538E0,5.610000134E0,-8.123000145E0,-2.993999958E0
5.969762538E0,5.610000134E0,-8.123000145E0,-2.993999958E0
5.969762538E0,5.629000187E0,-6.743999958E0,-2.993999958E0
6.009762538E0,2.181999922E0,-6.151000023E0,-4.659999907E-1
6.029762538E0,8.799999952E-1,-7.988999844E0,-1.979999989E-1
6.049762538E0,1.243999958E0,-8.715999603E0,-3.889999986E-1
6.069762538E0,1.416000009E0,-9.194999695E0,-9.639999866E-1
6.089762538E0,1.549999952E0,-9.864999771E0,-1.672000051E0
6.109762538E0,9.760000110E-1,-1.112899971E1,-2.706000090E0
6.129762538E0,1.330000013E-1,-1.095699978E1,-2.917000055E0
6.149762538E0,-5.929999948E-1,-1.038199997E1,-2.648999929E0
6.169762538E0,-1.052999973E0,-9.673999786E0,-1.825999975E0
6.189762538E0,-2.068000078E0,-8.869999886E0,-1.231999993E0
6.209762538E0,-2.470000029E0,-8.965000153E0,-1.309000015E0
6.229762538E0,-2.852999926E0,-9.079999924E0,-1.309000015E0
6.249762538E0,-3.255000114E0,-9.156999588E0,-1.519000053E0
6.269762538E0,-5.475999832E0,-1.013399982E1,-1.366000056E0
6.289762538E0,-7.046999931E0,-1.266100025E1,-1.078999996E0
6.309762538E0,-8.022999763E0,-1.229699993E1,-2.600000054E-2
6.329762538E0,-9.057000160E0,-1.145499992E1,3.099999949E-2
6.349762538E0,-7.966000080E0,-1.051700020E1,-5.429999828E-1
6.369762538E0,-7.966000080E0,-1.051700020E1,-5.429999828E-1
6.389762538E0,-1.340000033E-1,-1.068900013E1,-1.805999994E0
6.409762538E0,1.014000058E0,-1.294799995E1,-2.648999929E0
6.429762538E0,1.894999981E0,-1.576299953E1,-2.782999992E0
6.449762538E0,1.569000006E0,-1.767799950E1,-2.246999979E0
6.469762538E0,1.569000006E0,-1.767799950E1,-2.246999979E0
6.489762538E0,-2.009999990E0,-1.153100014E1,-5.809999704E-1
6.509762538E0,1.243999958E0,-8.793000221E0,2.500999928E0
6.529762538E0,2.411999941E0,-6.686999798E0,5.468999863E0
6.549762538E0,6.912000179E0,-7.758999825E0,5.660999775E0
6.569762538E0,6.739999771E0,-8.142000198E0,4.709999859E-1
6.589762538E0,5.743999958E0,-7.107999802E0,-1.327999949E0
6.609762538E0,5.170000076E0,-6.035999775E0,-2.016999960E0
6.629762538E0,5.303999901E0,-4.657000065E0,-3.088999987E0
6.649762538E0,5.494999886E0,-4.465000153E0,-3.262000084E0
6.669762538E0,5.840000153E0,-4.579999924E0,-3.013000011E0
6.689762538E0,5.245999813E0,-4.063000202E0,-2.036000013E0
6.709762538E0,3.713999987E0,-3.125000000E0,-2.170000076E0
6.729762538E0,5.303999901E0,-9.079999924E0,-1.174999952E0
6.749762538E0,4.289000034E0,-1.164599991E1,-1.019999981E-1
6.769762538E0,-1.320999980E0,-1.589700031E1,8.930000067E-1
6.789762538E0,-1.350000000E1,-2.229299927E1,-2.188999891E0
6.809762538E0,-4.730000019E0,-2.070400047E1,-2.151000023E0
6.829762538E0,-1.529999971E-1,-1.679700089E1,-6.579999924E-1
6.849762538E0,-3.082999945E0,-1.166499996E1,4.329999983E-1
6.869762538E0,-3.447000027E0,-1.022900009E1,7.590000033E-1
6.889762538E0,-3.447000027E0,-1.022900009E1,7.590000033E-1
6.909762538E0,5.550000072E-1,-5.538000107E0,5.163000107E0
6.929762538E0,4.009999931E-1,-4.868000031E0,2.155999899E0
6.949762538E0,8.989999890E-1,-3.622999907E0,2.042000055E0
6.969762538E0,6.119999886E-1,-3.086999893E0,2.989999950E-1
6.989762538E0,6.119999886E-1,-3.086999893E0,2.989999950E-1
7.009762538E0,1.205999970E0,-9.253000259E0,-1.998000026E0
7.029762538E0,1.511999965E0,-1.177999973E1,-6.401999950E0
7.049762538E0,2.278000116E0,-1.312100029E1,-9.906999588E0
7.069762538E0,2.278000116E0,-1.312100029E1,-9.906999588E0
7.089762538E0,5.303999901E0,-8.104000092E0,-2.706000090E0
7.109762538E0,4.211999893E0,-6.189000130E0,-5.429999828E-1
7.129762538E0,1.646000028E0,-5.155000210E0,4.709999859E-1
7.149762538E0,1.225000024E0,-7.051000118E0,7.200000286E-1
7.169762538E0,1.511999965E0,-8.123000145E0,3.370000124E-1
7.189762538E0,2.048000097E0,-9.213999748E0,-3.889999986E-1
7.209762538E0,2.278000116E0,-1.030599976E1,-1.269999981E0
